"condition","dv1","dv2"
"A",5.24163759095058,8.02037042856528
"A",4.48469236699585,8.72232145450705
"A",4.28067019437883,7.80440020550619
"A",2.60252053126142,6.74989066529011
"A",2.8644520243096,6.33570812894069
"A",7.08774975222002,6.98333142451911
"A",5.82546467683967,4.61370703337959
"A",3.64362787085048,6.96093713007741
"A",4.02160973979673,5.8115232189493
"A",2.58229387293594,4.70282857026217
"A",-0.272866960502508,8.43872263921957
"A",5.35382213522295,8.82950323608467
"A",4.59518121557849,6.93792016412926
"A",4.75333162707729,3.5248013109748
"A",3.43236711651816,7.85357063536845
"A",4.35802292351462,6.81761643913598
"A",3.47235271734317,4.19952238614481
"A",3.51779409314989,4.22226563567102
"A",4.25242505729826,8.15090010374645
"A",6.97359946463285,7.28772191999784
"A",5.13431680740207,6.64171748524597
"A",3.7422027320332,4.03766927664668
"A",3.51363993661225,6.67802544037878
"A",3.80458699749419,4.90841746751287
"A",6.23693873256648,9.18312112800093
"A",5.27678735868396,8.21376983702205
"A",6.64169782566323,5.52548526239851
"A",4.96091564090344,5.40807529478449
"A",4.77774453877829,6.46857308553932
"A",5.16731312315327,5.39293462232463
"A",5.98672073200549,3.42167542224793
"A",2.01131867003558,6.71346990241915
"A",2.30205703719766,3.65906570368634
"A",2.33010478266471,8.21265890150393
"A",2.83780019402718,5.99783069602504
"A",5.3298479190824,9.76021226900525
"A",4.89407586467261,2.9295428659865
"A",3.22702526205365,4.90066962861576
"A",4.98192957789668,8.77760976392326
"A",4.4371451642823,6.57665175586404
"A",4.71103240895407,6.89775728509522
"A",4.30159710767223,5.47343076174689
"A",3.44602186830737,4.60483278339799
"A",3.02224126586217,7.92161613397425
"A",3.75006681582451,5.52402828748152
"A",4.28870284129665,4.21701846013373
"A",2.53450388710977,3.93056911937647
"A",2.19068557937689,6.31858494101752
"A",5.21111062143187,5.30682800587086
"A",4.37436909760986,7.52815789997517
"A",2.41591717671354,6.25021384966407
"A",2.8439064053387,3.59422078653085
"A",3.5978982267972,3.52900913092965
"A",5.34503502212032,5.72485541998015
"A",4.01930934609476,5.03417369110345
"A",3.50056036873892,6.42707681431497
"A",5.51164851322603,8.55201037585172
"A",5.16066168248735,5.05253985384305
"A",5.25335652649895,4.31371853902803
"A",0.914428131830245,6.161423220098
"A",4.05502027857306,5.19384707045648
"A",3.21453550031817,2.90421919453384
"A",4.91886129911985,6.15564742081044
"A",4.1958638974418,7.95403530708036
"A",3.58385201304369,7.35721631140374
"A",4.66176978177303,6.46732704109094
"A",6.3702009549975,6.22793950830301
"A",4.9002425106863,6.24008538885841
"A",5.20131116257429,5.3451979758194
"A",4.25967050680662,4.28722402255599
"A",4.21849839303655,6.41485288689117
"A",4.20646021767457,4.79610032000063
"A",1.8543298892026,6.93618007533337
"A",6.81808019535085,4.56751199057436
"A",4.22845429701045,6.86944903917285
"A",5.37991282088836,6.84903212681357
"A",4.00809008833196,3.88614175601527
"A",4.14296638018079,4.9303413803338
"A",3.1028740300825,5.6907556352612
"A",4.49272459845906,6.16453341212635
"A",1.78805588815125,6.12586716512364
"A",4.22714408556075,4.91378135953948
"A",3.42911831468618,3.72004676405809
"A",3.659251363975,4.24710816277829
"A",3.02722084983049,3.93308466048442
"A",2.82720460831319,5.94774214064098
"A",4.1469888584952,7.1911544575803
"A",5.12513533009864,5.44714876569803
"A",4.57763920966589,9.04103087871365
"A",2.8164150915274,5.19679551805933
"A",1.92388420311385,3.64437066999022
"A",4.58063890031861,4.87960394770732
"A",1.70312833812338,4.60841865202667
"A",3.6737429885028,7.93189986037557
"A",5.43134106920792,5.67854360891006
"A",3.5565316661147,5.2007958633193
"A",2.69573407144259,4.85078551635567
"A",3.208629586029,6.42106598553281
"A",2.12477231953224,4.96582486369573
"A",2.71532367298505,6.70702545970209
"B",6.34575250622788,4.65029714746834
"B",5.7921861943483,2.75917031895114
"B",6.41186563291802,1.52495835338246
"B",8.95666419195124,2.52014167452299
"B",6.76570047045151,4.95555881903972
"B",5.22716565878668,3.46858427415671
"B",6.34406258848842,4.33589525226058
"B",7.99688913830937,3.21247339175449
"B",5.91495566893587,1.66420939614062
"B",5.68633049331622,2.6360434924452
"B",3.69302440597074,3.8180295687427
